D:\anaconda3\envs\STAR_DEPLOY\lib\site-packages\gymnasium\utils\passive_env_checker.py:165: UserWarning: [33mWARN: The obs returned by the `reset()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
D:\anaconda3\envs\STAR_DEPLOY\lib\site-packages\gymnasium\utils\passive_env_checker.py:165: UserWarning: [33mWARN: The obs returned by the `step()` method is not within the observation space.
  logger.warn(f"{pre} is not within the observation space.")
SPS: 258
global_step=24600, episodic_return=[64.30768]
global_step=24650, episodic_return=[62.542324]
global_step=24700, episodic_return=[65.36415]
global_step=24750, episodic_return=[67.896935]
global_step=24800, episodic_return=[65.26299]
global_step=24850, episodic_return=[66.936325]
global_step=24900, episodic_return=[69.02755]
global_step=24950, episodic_return=[62.891323]
global_step=25000, episodic_return=[70.26943]
global_step=25050, episodic_return=[66.18341]
global_step=25100, episodic_return=[59.98294]
global_step=25150, episodic_return=[65.324]
global_step=25200, episodic_return=[66.97723]
global_step=25250, episodic_return=[64.59517]
global_step=25300, episodic_return=[64.38716]
global_step=25350, episodic_return=[67.348885]
global_step=25400, episodic_return=[65.83989]
global_step=25450, episodic_return=[65.8485]
global_step=25500, episodic_return=[62.25431]
global_step=25550, episodic_return=[64.85214]
global_step=25600, episodic_return=[69.12892]
global_step=25650, episodic_return=[59.74926]
global_step=25700, episodic_return=[65.63848]
global_step=25750, episodic_return=[68.783554]
global_step=25800, episodic_return=[69.608765]
global_step=25850, episodic_return=[62.580185]
global_step=25900, episodic_return=[61.68769]
global_step=25950, episodic_return=[58.154434]
global_step=26000, episodic_return=[67.6162]
global_step=26050, episodic_return=[65.59408]
global_step=26100, episodic_return=[67.48608]
global_step=26150, episodic_return=[64.45828]
global_step=26200, episodic_return=[60.936543]
global_step=26250, episodic_return=[69.38608]
global_step=26300, episodic_return=[69.289085]
global_step=26350, episodic_return=[63.157684]
global_step=26400, episodic_return=[59.707424]
global_step=26450, episodic_return=[65.35381]
global_step=26500, episodic_return=[62.73225]
global_step=26550, episodic_return=[64.57987]
global_step=26600, episodic_return=[62.768776]
SPS: 258
global_step=26650, episodic_return=[67.287476]
global_step=26700, episodic_return=[66.35492]
global_step=26750, episodic_return=[68.05871]
global_step=26800, episodic_return=[60.994812]
global_step=26850, episodic_return=[65.60446]
global_step=26900, episodic_return=[69.50622]
global_step=26950, episodic_return=[67.10849]
global_step=27000, episodic_return=[63.42719]
global_step=27050, episodic_return=[63.830147]
global_step=27100, episodic_return=[65.683174]
global_step=27150, episodic_return=[65.93559]
global_step=27200, episodic_return=[61.526756]
global_step=27250, episodic_return=[67.39588]
global_step=27300, episodic_return=[61.861057]
global_step=27350, episodic_return=[66.69256]
global_step=27400, episodic_return=[67.478874]
global_step=27450, episodic_return=[67.744675]
global_step=27500, episodic_return=[67.95813]
global_step=27550, episodic_return=[67.24254]
global_step=27600, episodic_return=[70.846275]
global_step=27650, episodic_return=[65.00247]
global_step=27700, episodic_return=[63.40275]
global_step=27750, episodic_return=[61.277]
global_step=27800, episodic_return=[66.498474]
global_step=27850, episodic_return=[67.07174]
global_step=27900, episodic_return=[70.145]
global_step=27950, episodic_return=[66.30816]
global_step=28000, episodic_return=[65.151535]
global_step=28050, episodic_return=[64.62384]
global_step=28100, episodic_return=[68.586]
global_step=28150, episodic_return=[68.15871]
global_step=28200, episodic_return=[65.19118]
global_step=28250, episodic_return=[65.62527]
global_step=28300, episodic_return=[67.96948]
global_step=28350, episodic_return=[64.64071]
global_step=28400, episodic_return=[68.851776]
global_step=28450, episodic_return=[60.414574]
global_step=28500, episodic_return=[77.855446]
global_step=28550, episodic_return=[63.95215]
global_step=28600, episodic_return=[63.007828]
global_step=28650, episodic_return=[69.42274]
SPS: 258
global_step=28700, episodic_return=[60.560238]
global_step=28750, episodic_return=[62.756863]
global_step=28800, episodic_return=[65.08653]
global_step=28850, episodic_return=[65.69163]
global_step=28900, episodic_return=[64.84681]
global_step=28950, episodic_return=[67.65221]
global_step=29000, episodic_return=[69.28503]
global_step=29050, episodic_return=[67.94719]
global_step=29100, episodic_return=[70.938255]
global_step=29150, episodic_return=[61.51504]
global_step=29200, episodic_return=[63.783188]
global_step=29250, episodic_return=[66.30458]
global_step=29300, episodic_return=[62.078297]
global_step=29350, episodic_return=[67.36254]
global_step=29400, episodic_return=[69.208046]
global_step=29450, episodic_return=[60.892307]
global_step=29500, episodic_return=[60.278736]
global_step=29550, episodic_return=[67.299774]
global_step=29600, episodic_return=[66.23849]
global_step=29650, episodic_return=[63.880917]
global_step=29700, episodic_return=[68.66351]
global_step=29750, episodic_return=[71.81942]
global_step=29800, episodic_return=[64.703606]
global_step=29850, episodic_return=[61.29293]
global_step=29900, episodic_return=[65.42427]
global_step=29950, episodic_return=[61.30405]
global_step=30000, episodic_return=[68.35392]
global_step=30050, episodic_return=[63.67445]
global_step=30100, episodic_return=[62.927002]
global_step=30150, episodic_return=[65.27455]
global_step=30200, episodic_return=[62.655716]
global_step=30250, episodic_return=[67.08073]
global_step=30300, episodic_return=[63.37102]
global_step=30350, episodic_return=[65.218925]
global_step=30400, episodic_return=[66.54334]
global_step=30450, episodic_return=[60.035847]
global_step=30500, episodic_return=[61.364536]
global_step=30550, episodic_return=[72.16135]
global_step=30600, episodic_return=[58.889137]
global_step=30650, episodic_return=[64.70552]
global_step=30700, episodic_return=[70.29016]
SPS: 258
global_step=30750, episodic_return=[63.162823]
global_step=30800, episodic_return=[67.13632]
global_step=30850, episodic_return=[68.952576]
global_step=30900, episodic_return=[74.42859]
global_step=30950, episodic_return=[65.61322]
global_step=31000, episodic_return=[70.160194]
global_step=31050, episodic_return=[66.87711]
global_step=31100, episodic_return=[69.248184]
global_step=31150, episodic_return=[66.552414]
global_step=31200, episodic_return=[66.603455]
global_step=31250, episodic_return=[67.1107]
global_step=31300, episodic_return=[66.36429]
global_step=31350, episodic_return=[69.006714]
global_step=31400, episodic_return=[70.717384]
global_step=31450, episodic_return=[67.76238]
global_step=31500, episodic_return=[68.75874]
global_step=31550, episodic_return=[68.84234]
global_step=31600, episodic_return=[64.17832]
global_step=31650, episodic_return=[70.23207]
global_step=31700, episodic_return=[68.76726]
global_step=31750, episodic_return=[70.780815]
global_step=31800, episodic_return=[62.401035]
global_step=31850, episodic_return=[67.1945]
global_step=31900, episodic_return=[67.92404]
global_step=31950, episodic_return=[59.79551]
global_step=32000, episodic_return=[68.86932]
global_step=32050, episodic_return=[67.888405]
global_step=32100, episodic_return=[67.028755]
global_step=32150, episodic_return=[58.909355]
global_step=32200, episodic_return=[65.43909]
global_step=32250, episodic_return=[66.44745]
global_step=32300, episodic_return=[66.52656]
global_step=32350, episodic_return=[65.921036]
global_step=32400, episodic_return=[65.87159]
global_step=32450, episodic_return=[63.275787]
global_step=32500, episodic_return=[63.80946]
global_step=32550, episodic_return=[64.771805]
global_step=32600, episodic_return=[64.1917]
